Volatility of Returns Statistic,"(Session:All day, Interval:1h, Symbol:ZN)"
count,14.0
mean,6.410714285714286
std,2.7987070209314497
min,1.5
10%,3.25
25%,3.75
50%,7.375
75%,8.375
95%,9.862499999999999
99%,10.772499999999999
max,11.0
skew,-0.2609041304138301
kurtosis,-0.9775125969124723
