,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,32.0,31.0,40.0,31.0,31.0,43.0
mean,2.9375,1.717741935483871,0.99375,0.9354838709677419,1.6693548387096775,3.1511627906976742
std,1.964400918280669,1.288962657016407,0.8761210766929652,1.7535294669317216,1.2422880382151609,2.863532790854121
min,0.0,0.0,0.0,0.25,0.0,0.0
5%,0.3875,0.125,0.25,0.25,0.25,0.25
25%,1.1875,0.75,0.4375,0.25,0.75,1.0
50%,2.625,1.75,0.75,0.5,1.25,2.25
68%,4.040000000000001,2.25,1.0,0.6000000000000005,2.25,3.75
90%,5.5,3.25,1.7750000000000004,1.75,3.25,6.800000000000004
95%,5.975,3.625,2.537499999999998,2.375,3.875,7.699999999999999
99%,6.25,5.149999999999999,3.8599999999999994,7.724999999999995,4.425,11.714999999999993
99.7%,6.25,5.57,4.133000000000003,9.142500000000002,4.4775,12.96450000000001
max,6.25,5.75,4.25,9.75,4.5,13.5
