,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,32.0,31.0,40.0,31.0,31.0,43.0
mean,6.9140625,4.008064516129032,2.75,2.0,3.806451612903226,7.843023255813954
std,2.3764718486825473,1.5227221662860648,1.6689087483311993,2.0966242709015206,1.941551867943264,3.8825859907588356
min,2.0,1.75,0.75,0.75,0.5,2.0
5%,4.05,1.75,0.9875,0.75,1.5,3.25
25%,5.4375,2.75,1.75,1.0,2.625,5.25
50%,6.375,4.0,2.25,1.5,3.25,7.25
68%,7.5,4.700000000000001,3.130000000000001,1.8500000000000005,4.300000000000002,8.5
90%,10.200000000000001,6.25,4.300000000000001,3.75,6.0,12.0
95%,11.587499999999999,6.625,5.274999999999999,3.875,6.875,13.649999999999999
99%,12.0,6.925,8.342499999999998,9.599999999999994,9.325,19.66499999999999
99.7%,12.0,6.9775,9.502750000000011,11.280000000000001,9.7975,21.649500000000018
max,12.0,7.0,10.0,12.0,10.0,22.5
