time,open,high,low,close,Upper Band,Lower Band,SMA,Volume,RSI,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2024-10-20T21:22:00-04:00,134.06,134.08,134.06,134.08,134.06736068030602,134.02263931969395,134.045,42,72.03724940298275,72.03724940298275,51.982936808425734,NaN,NaN,NaN,NaN
2024-10-20T21:23:00-04:00,134.08,134.08,134.08,134.08,134.07390724859252,134.02009275140742,134.04699999999997,24,72.03724940298275,72.03724940298275,53.64134624018975,NaN,NaN,NaN,NaN
2024-10-20T21:24:00-04:00,134.07,134.08,134.07,134.08,134.07901229311952,134.0179877068804,134.04849999999996,41,72.03724940298275,72.03724940298275,54.826178474033284,NaN,NaN,NaN,NaN
2024-10-20T21:25:00-04:00,134.08,134.08,134.08,134.08,134.08346640107345,134.01653359892651,134.04999999999998,16,72.03724940298275,72.03724940298275,56.01101070787683,NaN,NaN,NaN,NaN
2024-10-20T21:26:00-04:00,134.08,134.08,134.08,134.08,134.087430488757,134.01556951124294,134.05149999999998,30,72.03724940298274,72.03724940298274,57.713170888916906,NaN,NaN,NaN,NaN
2024-10-20T21:27:00-04:00,134.08,134.08,134.08,134.08,134.0910000004965,134.01499999950343,134.05299999999997,48,72.03724940298274,72.03724940298274,59.83995550975773,NaN,NaN,NaN,NaN
2024-10-20T21:28:00-04:00,134.07,134.09,134.07,134.09,134.0962308237258,134.0147691762742,134.0555,74,76.33314568448908,76.33314568448908,62.27358986499188,NaN,NaN,NaN,NaN
2024-10-20T21:29:00-04:00,134.09,134.09,134.09,134.09,134.10070831308198,134.015291686918,134.058,16,76.33314568448908,76.33314568448908,64.70722422022602,NaN,NaN,NaN,NaN
2024-10-20T21:30:00-04:00,134.08,134.1,134.08,134.09,134.10472135947322,134.0152786405268,134.06,42,76.33314568448908,76.33314568448908,66.59043717910119,NaN,NaN,NaN,NaN
2024-10-20T21:32:00-04:00,134.09,134.1,134.09,134.1,134.11019695998323,134.01480304001677,134.0625,104,80.14324447993921,80.14324447993921,68.74580005193708,NaN,NaN,NaN,NaN
2024-10-20T21:33:00-04:00,134.1,134.1,134.1,134.1,134.1146833307721,134.01631666922788,134.0655,10,80.14324447993921,80.14324447993921,70.90116292477298,NaN,NaN,NaN,NaN
2024-10-20T21:34:00-04:00,134.09,134.1,134.09,134.1,134.11753864406978,134.02046135593025,134.06900000000002,13,80.14324447993921,80.14324447993921,73.05652579760887,NaN,NaN,NaN,NaN
2024-10-20T21:35:00-04:00,134.1,134.1,134.1,134.1,134.11935082672227,134.02564917327777,134.07250000000002,49,80.14324447993923,80.14324447993923,74.66799121846127,NaN,NaN,NaN,NaN
