Datetime,Adj Close,Close,High,Low,Open,Volume
2024-09-30 04:00:00+00:00,20218.75,20218.75,20222.5,20218.5,20220.0,0.0
2024-09-30 04:01:00+00:00,20221.5,20221.5,20222.25,20218.5,20218.75,34.0
2024-09-30 04:02:00+00:00,20225.25,20225.25,20226.75,20220.75,20222.0,98.0
2024-09-30 04:03:00+00:00,20223.25,20223.25,20225.75,20223.25,20224.75,59.0
2024-09-30 04:04:00+00:00,20221.5,20221.5,20225.5,20221.5,20223.0,66.0
2024-09-30 04:05:00+00:00,20224.25,20224.25,20225.75,20222.75,20223.25,26.0
2024-09-30 04:06:00+00:00,20223.5,20223.5,20225.0,20223.5,20225.0,10.0
2024-09-30 04:07:00+00:00,20222.5,20222.5,20222.75,20221.5,20222.0,17.0
2024-09-30 04:08:00+00:00,20223.25,20223.25,20223.25,20222.25,20223.0,14.0
2024-09-30 04:09:00+00:00,20223.5,20223.5,20223.5,20221.75,20222.75,10.0
2024-09-30 04:10:00+00:00,20221.5,20221.5,20222.75,20220.5,20222.0,19.0
2024-09-30 04:11:00+00:00,20221.75,20221.75,20222.0,20220.5,20222.0,15.0
2024-09-30 04:12:00+00:00,20221.0,20221.0,20221.5,20220.0,20221.5,16.0
2024-09-30 04:13:00+00:00,20217.0,20217.0,20220.75,20217.0,20220.75,69.0
2024-09-30 04:14:00+00:00,20217.25,20217.25,20217.25,20214.25,20217.25,56.0
2024-09-30 04:15:00+00:00,20214.75,20214.75,20217.25,20214.75,20216.25,29.0
2024-09-30 04:16:00+00:00,20215.0,20215.0,20215.5,20212.0,20215.0,69.0
2024-09-30 04:17:00+00:00,20214.0,20214.0,20216.25,20213.75,20215.75,18.0
2024-09-30 04:18:00+00:00,20216.5,20216.5,20216.5,20215.5,20215.75,12.0
2024-09-30 04:19:00+00:00,20219.0,20219.0,20219.0,20215.25,20216.5,43.0
2024-09-30 04:20:00+00:00,20214.25,20214.25,20218.75,20214.25,20218.75,34.0
