Datetime,Close,High,Low,Open,Volume
2025-04-10 04:00:00+00:00,,,,,
2025-04-10 04:01:00+00:00,,,,,
2025-04-10 04:02:00+00:00,,,,,
2025-04-10 04:03:00+00:00,,,,,
2025-04-10 04:04:00+00:00,,,,,
2025-04-10 04:05:00+00:00,,,,,
2025-04-10 04:06:00+00:00,,,,,
2025-04-10 04:07:00+00:00,,,,,
2025-04-10 04:08:00+00:00,,,,,
2025-04-10 04:09:00+00:00,19002.25,19005.5,18997.75,19001.25,0.0
2025-04-10 04:10:00+00:00,19006.25,19007.0,19000.0,19000.25,56.0
2025-04-10 04:11:00+00:00,18989.75,19009.0,18987.0,19005.5,159.0
2025-04-10 04:12:00+00:00,18998.0,18999.75,18978.5,18989.75,244.0
2025-04-10 04:13:00+00:00,18998.0,19009.0,18995.0,18998.0,117.0
2025-04-10 04:14:00+00:00,19008.0,19008.25,18996.25,18998.0,82.0
2025-04-10 04:15:00+00:00,19016.75,19018.5,19006.5,19007.25,137.0
2025-04-10 04:16:00+00:00,19011.0,19021.75,19009.5,19019.0,56.0
2025-04-10 04:17:00+00:00,19014.5,19015.5,19010.0,19014.0,38.0
2025-04-10 04:18:00+00:00,19021.0,19022.0,19015.75,19016.25,90.0
2025-04-10 04:19:00+00:00,19033.5,19033.75,19017.25,19021.25,241.0
2025-04-10 04:20:00+00:00,19041.75,19049.0,19034.25,19035.5,207.0
2025-04-10 04:21:00+00:00,19038.5,19044.25,19037.25,19041.0,69.0
2025-04-10 04:22:00+00:00,19034.25,19039.0,19030.5,19039.0,60.0
2025-04-10 04:23:00+00:00,19034.5,19037.5,19028.5,19032.5,68.0
2025-04-10 04:24:00+00:00,19038.0,19038.25,19033.0,19035.5,39.0
2025-04-10 04:25:00+00:00,19038.5,19043.25,19034.0,19038.0,72.0
2025-04-10 04:26:00+00:00,19031.25,19038.0,19027.5,19038.0,88.0
2025-04-10 04:27:00+00:00,19026.5,19032.5,19024.25,19031.5,55.0
2025-04-10 04:28:00+00:00,19021.5,19027.5,19010.5,19026.25,180.0
2025-04-10 04:29:00+00:00,19020.0,19025.0,19017.25,19021.0,51.0
2025-04-10 04:30:00+00:00,19019.25,19025.75,19013.5,19022.75,44.0
2025-04-10 04:31:00+00:00,19016.75,19021.0,19012.75,19020.75,52.0
2025-04-10 04:32:00+00:00,19020.5,19023.0,19016.0,19017.25,39.0
2025-04-10 04:33:00+00:00,19022.25,19027.75,19021.5,19022.5,57.0
2025-04-10 04:34:00+00:00,19028.0,19030.25,19019.5,19022.25,73.0
2025-04-10 04:35:00+00:00,19025.0,19034.0,19025.0,19027.25,79.0
2025-04-10 04:36:00+00:00,19033.5,19038.0,19022.75,19023.5,85.0
2025-04-10 04:37:00+00:00,19027.0,19035.5,19027.0,19035.25,99.0
2025-04-10 04:38:00+00:00,19037.75,19043.75,19026.5,19026.75,118.0
2025-04-10 04:39:00+00:00,19035.25,19040.5,19034.5,19037.5,42.0
2025-04-10 04:40:00+00:00,19044.75,19045.25,19034.25,19036.25,118.0
2025-04-10 04:41:00+00:00,19046.75,19053.5,19042.25,19043.25,162.0
2025-04-10 04:42:00+00:00,19042.5,19051.75,19041.75,19046.75,88.0
2025-04-10 04:43:00+00:00,19041.5,19044.0,19036.5,19044.0,84.0
2025-04-10 04:44:00+00:00,19033.0,19041.75,19032.75,19041.75,65.0
2025-04-10 04:45:00+00:00,19030.75,19039.75,19026.25,19034.0,108.0
2025-04-10 04:46:00+00:00,19052.75,19059.0,19032.25,19032.75,236.0
2025-04-10 04:47:00+00:00,19063.25,19064.5,19053.0,19053.0,95.0
2025-04-10 04:48:00+00:00,19064.0,19064.25,19057.75,19062.75,85.0
2025-04-10 04:49:00+00:00,19061.25,19064.5,19057.5,19064.0,74.0
2025-04-10 04:50:00+00:00,19065.25,19068.75,19062.25,19062.25,124.0
2025-04-10 04:51:00+00:00,19062.5,19065.5,19061.0,19064.75,41.0
2025-04-10 04:52:00+00:00,19061.0,19064.25,19056.5,19064.0,85.0
2025-04-10 04:53:00+00:00,19057.0,19060.75,19054.0,19060.75,74.0
2025-04-10 04:54:00+00:00,19062.5,19066.0,19054.25,19057.0,81.0
2025-04-10 04:55:00+00:00,19055.25,19062.25,19053.5,19062.25,95.0
2025-04-10 04:56:00+00:00,19063.5,19068.5,19054.25,19056.5,110.0
2025-04-10 04:57:00+00:00,19053.25,19067.0,19053.25,19066.5,81.0
2025-04-10 04:58:00+00:00,19049.75,19053.5,19045.0,19053.5,64.0
2025-04-10 04:59:00+00:00,19048.25,19048.75,19044.0,19047.25,57.0
2025-04-10 05:00:00+00:00,19043.75,19048.5,19041.0,19046.25,99.0
2025-04-10 05:01:00+00:00,19041.25,19045.5,19035.5,19042.25,59.0
2025-04-10 05:02:00+00:00,19044.75,19049.0,19035.25,19044.0,106.0
2025-04-10 05:03:00+00:00,19048.5,19051.25,19042.25,19045.0,88.0
2025-04-10 05:04:00+00:00,19054.25,19054.25,19042.25,19051.25,98.0
2025-04-10 05:05:00+00:00,19057.5,19063.25,19050.0,19054.75,119.0
2025-04-10 05:06:00+00:00,19048.75,19060.5,19046.5,19055.75,68.0
2025-04-10 05:07:00+00:00,19044.5,19050.25,19042.5,19049.0,80.0
2025-04-10 05:08:00+00:00,19040.0,19044.75,19037.0,19043.0,51.0
2025-04-10 05:09:00+00:00,19035.0,19042.0,19022.0,19039.25,172.0
2025-04-10 05:10:00+00:00,19028.25,19034.75,19022.5,19034.25,110.0
2025-04-10 05:11:00+00:00,19040.5,19045.0,19027.25,19027.25,80.0
2025-04-10 05:12:00+00:00,19036.5,19046.5,19036.25,19045.0,96.0
2025-04-10 05:13:00+00:00,19043.75,19046.5,19036.0,19037.25,114.0
2025-04-10 05:14:00+00:00,19029.5,19044.0,19029.5,19044.0,69.0
2025-04-10 05:15:00+00:00,19028.75,19030.0,19018.0,19028.5,104.0
2025-04-10 05:16:00+00:00,19032.75,19035.0,19027.75,19028.75,45.0
2025-04-10 05:17:00+00:00,19039.5,19040.0,19028.25,19031.75,66.0
2025-04-10 05:18:00+00:00,19042.0,19044.0,19036.0,19040.5,79.0
2025-04-10 05:19:00+00:00,19048.5,19057.25,19044.5,19045.0,105.0
2025-04-10 05:20:00+00:00,19052.75,19054.75,19043.0,19048.0,77.0
2025-04-10 05:21:00+00:00,19057.75,19063.75,19050.75,19051.25,92.0
2025-04-10 05:22:00+00:00,19056.0,19058.5,19052.5,19057.75,30.0
2025-04-10 05:23:00+00:00,19058.5,19062.5,19052.75,19052.75,25.0
2025-04-10 05:24:00+00:00,19063.0,19063.25,19060.0,19061.75,29.0
2025-04-10 05:25:00+00:00,19068.25,19069.25,19059.25,19063.5,79.0
2025-04-10 05:26:00+00:00,19075.75,19080.5,19065.25,19068.5,176.0
