Datetime,Close,High,Low,Open,Volume
2025-03-10 04:00:00+00:00,117.125,117.125,117.125,117.125,0.0
2025-03-10 04:01:00+00:00,,,,,
2025-03-10 04:02:00+00:00,117.09375,117.09375,117.09375,117.09375,7.0
2025-03-10 04:03:00+00:00,117.09375,117.09375,117.09375,117.09375,1.0
2025-03-10 04:04:00+00:00,,,,,
2025-03-10 04:05:00+00:00,,,,,
2025-03-10 04:06:00+00:00,117.125,117.125,117.125,117.125,33.0
2025-03-10 04:07:00+00:00,117.125,117.125,117.125,117.125,1.0
2025-03-10 04:08:00+00:00,117.125,117.125,117.125,117.125,4.0
2025-03-10 04:09:00+00:00,117.125,117.125,117.125,117.125,62.0
2025-03-10 04:10:00+00:00,,,,,
2025-03-10 04:11:00+00:00,117.125,117.125,117.125,117.125,1.0
2025-03-10 04:12:00+00:00,117.125,117.125,117.125,117.125,286.0
2025-03-10 04:13:00+00:00,117.125,117.125,117.125,117.125,47.0
2025-03-10 04:14:00+00:00,,,,,
2025-03-10 04:15:00+00:00,117.125,117.125,117.125,117.125,59.0
2025-03-10 04:16:00+00:00,117.125,117.125,117.125,117.125,16.0
2025-03-10 04:17:00+00:00,,,,,
2025-03-10 04:18:00+00:00,117.125,117.125,117.125,117.125,1.0
2025-03-10 04:19:00+00:00,,,,,
2025-03-10 04:20:00+00:00,,,,,
2025-03-10 04:21:00+00:00,117.09375,117.09375,117.09375,117.09375,156.0
2025-03-10 04:22:00+00:00,117.09375,117.09375,117.09375,117.09375,60.0
2025-03-10 04:23:00+00:00,,,,,
2025-03-10 04:24:00+00:00,,,,,
2025-03-10 04:25:00+00:00,117.09375,117.125,117.09375,117.125,17.0
2025-03-10 04:26:00+00:00,117.125,117.125,117.125,117.125,33.0
2025-03-10 04:27:00+00:00,117.125,117.125,117.125,117.125,1.0
2025-03-10 04:28:00+00:00,117.125,117.125,117.125,117.125,40.0
2025-03-10 04:29:00+00:00,,,,,
2025-03-10 04:30:00+00:00,117.15625,117.15625,117.15625,117.15625,3.0
2025-03-10 04:31:00+00:00,,,,,
2025-03-10 04:32:00+00:00,117.125,117.125,117.125,117.125,18.0
2025-03-10 04:33:00+00:00,,,,,
2025-03-10 04:34:00+00:00,117.09375,117.09375,117.09375,117.09375,1.0
2025-03-10 04:35:00+00:00,,,,,
2025-03-10 04:36:00+00:00,117.125,117.125,117.125,117.125,5.0
2025-03-10 04:37:00+00:00,,,,,
2025-03-10 04:38:00+00:00,,,,,
2025-03-10 04:39:00+00:00,117.125,117.125,117.125,117.125,95.0
2025-03-10 04:40:00+00:00,117.125,117.125,117.125,117.125,90.0
2025-03-10 04:41:00+00:00,117.125,117.125,117.125,117.125,1.0
2025-03-10 04:42:00+00:00,,,,,
2025-03-10 04:43:00+00:00,,,,,
2025-03-10 04:44:00+00:00,,,,,
2025-03-10 04:45:00+00:00,117.0625,117.09375,117.0625,117.09375,252.0
