Datetime,Adj Close,Close,High,Low,Open,Volume
2024-12-13 05:00:00+00:00,70.12000274658203,70.12000274658203,70.12000274658203,70.12000274658203,70.12000274658203,0.0
2024-12-13 05:01:00+00:00,70.11000061035156,70.11000061035156,70.12000274658203,70.11000061035156,70.12000274658203,6.0
2024-12-13 05:02:00+00:00,70.11000061035156,70.11000061035156,70.12000274658203,70.11000061035156,70.12000274658203,2.0
2024-12-13 05:03:00+00:00,,,,,,
2024-12-13 05:04:00+00:00,70.11000061035156,70.11000061035156,70.12000274658203,70.11000061035156,70.11000061035156,5.0
2024-12-13 05:05:00+00:00,70.12000274658203,70.12000274658203,70.12000274658203,70.11000061035156,70.11000061035156,7.0
2024-12-13 05:06:00+00:00,70.12000274658203,70.12000274658203,70.12999725341797,70.12000274658203,70.12000274658203,32.0
2024-12-13 05:07:00+00:00,70.12000274658203,70.12000274658203,70.12000274658203,70.11000061035156,70.12000274658203,5.0
2024-12-13 05:08:00+00:00,70.11000061035156,70.11000061035156,70.11000061035156,70.0999984741211,70.0999984741211,13.0
2024-12-13 05:09:00+00:00,70.08999633789062,70.08999633789062,70.0999984741211,70.08999633789062,70.0999984741211,2.0
2024-12-13 05:10:00+00:00,70.08999633789062,70.08999633789062,70.0999984741211,70.08999633789062,70.0999984741211,24.0
2024-12-13 05:11:00+00:00,70.06999969482422,70.06999969482422,70.08000183105469,70.06999969482422,70.08000183105469,32.0
2024-12-13 05:12:00+00:00,70.06999969482422,70.06999969482422,70.06999969482422,70.06999969482422,70.06999969482422,11.0
2024-12-13 05:13:00+00:00,70.06999969482422,70.06999969482422,70.06999969482422,70.06999969482422,70.06999969482422,3.0
2024-12-13 05:14:00+00:00,70.06999969482422,70.06999969482422,70.06999969482422,70.06999969482422,70.06999969482422,9.0
2024-12-13 05:15:00+00:00,,,,,,
2024-12-13 05:16:00+00:00,70.04000091552734,70.04000091552734,70.05999755859375,70.04000091552734,70.05999755859375,23.0
2024-12-13 05:17:00+00:00,70.02999877929688,70.02999877929688,70.02999877929688,70.0199966430664,70.02999877929688,13.0
2024-12-13 05:18:00+00:00,69.9800033569336,69.9800033569336,70.0199966430664,69.9800033569336,70.0199966430664,48.0
