Datetime,Adj Close,Close,High,Low,Open,Volume
2024-11-21 05:00:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,0.0
2024-11-21 05:01:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,114.0
2024-11-21 05:02:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,168.0
2024-11-21 05:03:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,10.0
2024-11-21 05:04:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,247.0
2024-11-21 05:05:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,701.0
2024-11-21 05:06:00+00:00,109.6875,109.6875,109.6875,109.671875,109.671875,187.0
2024-11-21 05:07:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,8.0
2024-11-21 05:08:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,13.0
2024-11-21 05:09:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,156.0
2024-11-21 05:10:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,46.0
2024-11-21 05:11:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,125.0
2024-11-21 05:12:00+00:00,109.6875,109.6875,109.703125,109.6875,109.703125,180.0
2024-11-21 05:13:00+00:00,,,,,,
2024-11-21 05:14:00+00:00,,,,,,
2024-11-21 05:15:00+00:00,,,,,,
2024-11-21 05:16:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,139.0
2024-11-21 05:17:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,109.0
2024-11-21 05:18:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,30.0
2024-11-21 05:19:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,196.0
2024-11-21 05:20:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,54.0
2024-11-21 05:21:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,74.0
2024-11-21 05:22:00+00:00,109.671875,109.671875,109.671875,109.671875,109.671875,5.0
2024-11-21 05:23:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,44.0
2024-11-21 05:24:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,10.0
2024-11-21 05:25:00+00:00,,,,,,
2024-11-21 05:26:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,212.0
2024-11-21 05:27:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,253.0
2024-11-21 05:28:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,86.0
2024-11-21 05:29:00+00:00,,,,,,
2024-11-21 05:30:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,73.0
2024-11-21 05:31:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,99.0
2024-11-21 05:32:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,110.0
2024-11-21 05:33:00+00:00,,,,,,
2024-11-21 05:34:00+00:00,,,,,,
2024-11-21 05:35:00+00:00,,,,,,
2024-11-21 05:36:00+00:00,,,,,,
2024-11-21 05:37:00+00:00,,,,,,
2024-11-21 05:38:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,200.0
2024-11-21 05:39:00+00:00,,,,,,
2024-11-21 05:40:00+00:00,,,,,,
2024-11-21 05:41:00+00:00,109.6875,109.6875,109.6875,109.6875,109.6875,140.0
